transaction_id,customer_id,branch_name,transaction_type,waiting_time,processing_time,transaction_time,date,sentiment,sentiment_score,review_text,bhs
BPI0823N001,N001,BPI Shaw Mandaluyong Branch,withdrawal,2,2,4,2025-08-23,neutral,2.43,Typical bank visit. Service was adequate for needs.,
BPI0823N002,N002,BPI Kamias EDSA Branch,withdrawal,1,1,2,2025-08-23,positive,4.46,Refinancing process was hassle-free with great new rates.,
BPI0823N002,N002,BPI Sucat Road BF Homes Branch,deposit,2,2,4,2025-08-23,positive,3.1,24/7 customer service actually works! Got help at midnight.,
BPI0823N004,N004,BPI Buendia Center Branch,deposit,1,1,2,2025-08-23,positive,4.79,Premium banking services justify the additional fees.,
BPI0823N001,N001,BPI Katipunan Loyola Heights Branch,deposit,3,3,6,2025-08-23,positive,4.23,Mortgage team was incredibly helpful throughout the process.,
BPI0823N001,N001,BPI Bustillos Branch,deposit,7,7,14,2025-08-23,positive,4.23,Very fast processing. Impressed with the service quality.,
BPI0823N001,N001,BPI Marulas Branch,deposit,3,2,5,2025-08-23,positive,4.44,Open on weekends which is very convenient for working people.,
BPI0823N001,N001,BPI Caloocan Camarin Susano Branch,deposit,3,2,5,2025-08-23,neutral,2.36,"Average wait time, decent staff",
BPI0823B001,B001,BPI Timog Circle Branch,withdrawal,4,4,8,2025-08-23,positive,4.74,Best bank in the area. Never had any issues with their service.,
BPI0823B001,B001,BPI EDSA Cloverleaf Branch,deposit,5,4,9,2025-08-23,neutral,2.91,Support team is polite and follows standard procedures.,
BPI0823N003,N003,BPI Ayala Malls Vertis North Branch,transfer,2,1,3,2025-08-23,neutral,2.65,Standard operating procedures. Everything went normally.,
BPI0823N001,N001,BPI Grace Park 2nd Ave. Branch,withdrawal,4,5,9,2025-08-23,neutral,2.48,Staff knowledge varies depending on who you get.,
BPI0823N002,N002,BPI Vito Cruz Chino Roces Branch,withdrawal,2,1,3,2025-08-23,positive,4.4,Credit card application processed same day. Impressive!,
BPI0823N001,N001,BPI U.P. Techno Hub Branch,withdrawal,1,1,2,2025-08-23,positive,3.78,Amazing customer service today,
BPI0823N001,N001,BPI Ayala North Exchange Branch,transfer,1,1,2,2025-08-23,positive,3.85,Foreign exchange rates are better than competitors.,
BPI0823B001,B001,BPI Novaliches San Bartolome Branch ATM,withdrawal,1,1,2,2025-08-23,neutral,2.34,Business banking services meet our basic requirements.,
BPI0823B001,B001,BPI Pasig Amang Rodriguez Branch,encashment,6,5,11,2025-08-23,positive,4.22,Drive-thru service is super convenient. Never have to get out.,
BPI0823N001,N001,BPI Navotas Branch,deposit,5,5,10,2025-08-23,positive,3.55,Great branch! Modern facilities and efficient service.,
BPI0823N001,N001,BPI Pasay-Buendia,customer service,3,5,8,2025-08-23,positive,4.78,Insurance products are reasonably priced and comprehensive.,
BPI0823N001,N001,BPI Las Pinas Cittadella Branch,transfer,2,1,3,2025-08-23,neutral,2.96,Standard branch operations. Nothing to complain about.,
BPI0823N001,N001,BPI Ortigas Sapphire Branch,withdrawal,3,4,7,2025-08-23,positive,4.45,Great branch! Modern facilities and efficient service.,
BPI0823N002,N002,BPI J.P. Rizal San Miguel Branch,customer service,4,3,7,2025-08-23,positive,3.56,Quick and easy. No complaints!,
BPI0823N001,N001,BPI SM North EDSA Branch,deposit,6,8,14,2025-08-23,positive,3.91,No hassle transaction. Staff was accommodating.,
BPI0823B001,B001,BPI Muntinlupa Alabang Branch,encashment,3,3,6,2025-08-23,neutral,2.44,Meh. It's fine for basic stuff,
BPI0823N002,N002,BPI EDSA Cloverleaf Branch,withdrawal,4,3,7,2025-08-23,neutral,2.73,Banking products meet needs but don't exceed expectations.,
BPI0823N001,N001,BPI Muntinlupa South Park Branch,encashment,4,4,8,2025-08-23,neutral,2.68,"Regular service, nothing special. Average branch experience.",
BPI0823N002,N002,BPI Cash And Carry Mall Branch,deposit,2,2,4,2025-08-23,positive,4.3,Staff remembered my name. Sweet!,
BPI0823N001,N001,BPI Magallanes EDSA Branch,deposit,5,5,10,2025-08-23,positive,4.08,Fraud protection caught suspicious activity immediately.,
BPI0823N001,N001,BPI Alabang Civic Place Branch,transfer,3,2,5,2025-08-23,positive,3.04,24/7 customer service actually works! Got help at midnight.,
BPI0823B001,B001,BPI Binondo Plaza Lorenzo Ruiz Branch,deposit,2,3,5,2025-08-23,positive,5.0,24/7 customer service actually works! Got help at midnight.,
BPI0823B001,B001,BPI Timog Avenue Branch,withdrawal,4,2,6,2025-08-23,positive,4.75,Great branch! Modern facilities and efficient service.,
BPI0823B001,B001,BPI E. Rodriguez B.G. Belmonte Branch,deposit,1,1,2,2025-08-23,neutral,2.47,It's a bank. Does bank things.,
